,start,end,probability,type,normalized_text,author_id,tweet_id
0,0,3,0.9558,Organization,ESPN,50323173,1559317843111317504
1,14,24,0.994,Person,Ben Simmons,50323173,1559317843111317504
2,34,38,0.9056,Organization,76ers,50323173,1559317843111317504
0,97,100,0.9425,Organization,ESPN,50323173,1559301373040009217
0,0,4,0.7551,Organization,76ers,50323173,1559301087500242944
1,17,23,0.8831,Person,Simmons,50323173,1559301087500242944
2,173,176,0.871,Organization,Nets,50323173,1559301087500242944
3,179,185,0.9379,Person,Simmons,50323173,1559301087500242944
0,0,3,0.9562,Organization,ESPN,50323173,1559299506859954176
1,14,24,0.9954,Person,Ben Simmons,50323173,1559299506859954176
2,34,51,0.7154,Organization,Philadelphia 76ers,50323173,1559299506859954176
3,110,117,0.6809,Organization,All-Star,50323173,1559299506859954176
0,39,57,0.8351,Person,Kareem Abdul-Jabbar,50323173,1556324476710580224
1,72,83,0.9924,Person,Bill Bradley,50323173,1556324476710580224
0,0,12,0.8979,Organization,Brooklyn Nets,50323173,1556066090714816512
1,35,47,0.9957,Person,Matt Riccardi,50323173,1556066090714816512
2,64,79,0.9287,Organization,Dallas Mavericks,50323173,1556066090714816512
3,125,128,0.9866,Organization,ESPN,50323173,1556066090714816512
4,131,138,0.628,Person,Riccardi,50323173,1556066090714816512
5,164,167,0.6771,Organization,Nets,50323173,1556066090714816512
6,214,219,0.8736,Place,Dallas,50323173,1556066090714816512
0,22,33,0.9909,Person,LeBron James,50323173,1555325456529952770
1,43,48,0.995,Organization,Lakers,50323173,1555325456529952770
2,100,103,0.6325,Person,Paul,50323173,1555325456529952770
3,117,135,0.5733,Organization,Klutch Sports Group,50323173,1555325456529952770
0,0,6,0.9776,Organization,Blazers,50323173,1554987745004531714
1,21,25,0.4477,Person,Pelle,50323173,1554987745004531714
0,4,16,0.6083,Organization,Trail Blazers,50323173,1554979370938376193
1,48,59,0.4203,Person,Norvel Pelle,50323173,1554979370938376193
2,99,102,0.9567,Organization,ESPN,50323173,1554979370938376193
0,79,84,0.5717,Person,LeBron,50323173,1554810345943973894
0,11,32,0.7429,Person,G Duane Washington Jr.,50323173,1554634440151908354
1,77,88,0.9616,Organization,Phoenix Suns,50323173,1554634440151908354
2,101,112,0.5614,Person,Shayaun Saee,50323173,1554634440151908354
3,140,143,0.984,Organization,ESPN,50323173,1554634440151908354
4,146,155,0.9906,Organization,Washington,50323173,1554634440151908354
5,190,195,0.9709,Organization,Pacers,50323173,1554634440151908354
0,22,25,0.6393,Person,Soto,50323173,1554496005709635584
0,20,35,0.7978,Organization,San Diego Padres,50323173,1554494385567551488
1,91,99,0.985,Person,Juan Soto,50323173,1554494385567551488
2,106,115,0.8197,Organization,Washington,50323173,1554494385567551488
3,131,134,0.9545,Organization,ESPN,50323173,1554494385567551488
0,13,23,0.8205,Person,Noah Vonleh,50323173,1554260644484075526
1,64,77,0.9738,Organization,Boston Celtics,50323173,1554260644484075526
2,93,96,0.9802,Organization,ESPN,50323173,1554260644484075526
3,99,104,0.5849,Organization,Vonleh,50323173,1554260644484075526
0,0,17,0.7553,Organization,Los Angeles Lakers,50323173,1554212052792709122
1,24,40,0.9913,Person,Russell Westbrook,50323173,1554212052792709122
2,64,76,0.9879,Person,Jeff Schwartz,50323173,1554212052792709122
3,118,126,0.8237,Person,Westbrook,50323173,1554212052792709122
4,133,136,0.9829,Organization,ESPN,50323173,1554212052792709122
0,54,56,0.9132,Organization,NBA,50323173,1554173776631308289
1,90,101,0.9901,Person,Bill Russell,50323173,1554173776631308289
0,11,19,0.8084,Person,Coach Pop,50323173,1553889949786771456
1,39,41,0.912,Organization,NBA,50323173,1553889949786771456
2,50,61,0.9735,Person,Bill Russell,50323173,1553889949786771456
