,start,end,probability,type,normalized_text,author_id,tweet_id,tweet_time
0,0,7,0.4646,Organization,The Jazz,50323173,1564457569321713665,2022-08-30T03:38:45.000Z
1,13,18,0.8127,Organization,Knicks,50323173,1564457569321713665,2022-08-30T03:38:45.000Z
2,50,65,0.947,Person,Donovan Mitchell,50323173,1564457569321713665,2022-08-30T03:38:45.000Z
3,113,115,0.9441,Organization,NBA,50323173,1564457569321713665,2022-08-30T03:38:45.000Z
4,140,150,0.4492,Organization,Poison Pill,50323173,1564457569321713665,2022-08-30T03:38:45.000Z
5,177,188,0.9965,Person,Devin Harris,50323173,1564457569321713665,2022-08-30T03:38:45.000Z
0,5,8,0.8772,Organization,ESPN,50323173,1564455265184923648,2022-08-30T03:29:36.000Z
1,19,24,0.975,Organization,Knicks,50323173,1564455265184923648,2022-08-30T03:29:36.000Z
2,32,41,0.8508,Person,RJ Barrett,50323173,1564455265184923648,2022-08-30T03:29:36.000Z
0,0,6,0.866,Person,Barrett,50323173,1564453686709026816,2022-08-30T03:23:19.000Z
1,62,67,0.9531,Organization,Knicks,50323173,1564453686709026816,2022-08-30T03:23:19.000Z
2,180,191,0.9775,Person,Charlie Ward,50323173,1564453686709026816,2022-08-30T03:23:19.000Z
0,0,7,0.7623,Organization,New York,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
1,11,19,0.9582,Person,Leon Rose,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
2,54,57,0.8893,Organization,Utah,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
3,96,103,0.7231,Person,Mitchell,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
4,114,119,0.9581,Organization,Knicks,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
5,141,147,0.7033,Person,Barrett,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
6,174,179,0.8518,Organization,Knicks,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
7,182,185,0.6666,Organization,Jazz,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
8,233,240,0.545,Person,Mitchell,50323173,1564450531153780736,2022-08-30T03:10:47.000Z
0,0,6,0.9277,Person,Barrett,50323173,1564449018377342976,2022-08-30T03:04:46.000Z
1,67,72,0.9729,Organization,Knicks,50323173,1564449018377342976,2022-08-30T03:04:46.000Z
2,106,113,0.7959,Place,New York,50323173,1564449018377342976,2022-08-30T03:04:46.000Z
3,115,118,0.6197,Organization,Utah,50323173,1564449018377342976,2022-08-30T03:04:46.000Z
4,135,142,0.4715,Organization,Mitchell,50323173,1564449018377342976,2022-08-30T03:04:46.000Z
0,0,14,0.8529,Organization,New York Knicks,50323173,1564448561563148288,2022-08-30T03:02:57.000Z
1,22,31,0.9389,Person,RJ Barrett,50323173,1564448561563148288,2022-08-30T03:02:57.000Z
