normalized_text,start_x,end_x,probability_x,type_x,tweet_id_x,start_y,end_y,probability_y,type_y,tweet_id_y,diff
ESPN,1661.0,1661.0,1661.0,1661.0,1661.0,0.0,0.0,0.0,0.0,0.0,1661.0
NBA,502.0,502.0,502.0,502.0,502.0,1132.0,1132.0,1132.0,1132.0,1132.0,-630.0
Lakers,171.0,171.0,171.0,171.0,171.0,251.0,251.0,251.0,251.0,251.0,-80.0
Covid,149.0,149.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,149.0
Nets,96.0,96.0,96.0,96.0,96.0,119.0,119.0,119.0,119.0,119.0,-23.0
Sixers,92.0,92.0,92.0,92.0,92.0,3.0,3.0,3.0,3.0,3.0,89.0
Portland,89.0,89.0,89.0,89.0,89.0,43.0,43.0,43.0,43.0,43.0,46.0
Clippers,81.0,81.0,81.0,81.0,81.0,94.0,94.0,94.0,94.0,94.0,-13.0
Knicks,78.0,78.0,78.0,78.0,78.0,62.0,62.0,62.0,62.0,62.0,16.0
Celtics,78.0,78.0,78.0,78.0,78.0,86.0,86.0,86.0,86.0,86.0,-8.0
Pacers,65.0,65.0,65.0,65.0,65.0,37.0,37.0,37.0,37.0,37.0,28.0
Ben Simmons,63.0,63.0,63.0,63.0,63.0,61.0,61.0,61.0,61.0,61.0,2.0
Suns,62.0,62.0,62.0,62.0,62.0,58.0,58.0,58.0,58.0,58.0,4.0
Bulls,61.0,61.0,61.0,61.0,61.0,56.0,56.0,56.0,56.0,56.0,5.0
Denver,59.0,59.0,59.0,59.0,59.0,46.0,46.0,46.0,46.0,46.0,13.0
Spurs,59.0,59.0,59.0,59.0,59.0,51.0,51.0,51.0,51.0,51.0,8.0
Brooklyn Nets,57.0,57.0,57.0,57.0,57.0,62.0,62.0,62.0,62.0,62.0,-5.0
Bucks,56.0,56.0,56.0,56.0,56.0,102.0,102.0,102.0,102.0,102.0,-46.0
Detroit,55.0,55.0,55.0,55.0,55.0,21.0,21.0,21.0,21.0,21.0,34.0
Brooklyn,54.0,54.0,54.0,54.0,54.0,42.0,42.0,42.0,42.0,42.0,12.0
Blazers,53.0,53.0,53.0,53.0,53.0,15.0,15.0,15.0,15.0,15.0,38.0
Boston,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,51.0,1.0
Cleveland,49.0,49.0,49.0,49.0,49.0,29.0,29.0,29.0,29.0,29.0,20.0
Simmons,47.0,47.0,47.0,47.0,47.0,32.0,32.0,32.0,32.0,32.0,15.0
Rockets,47.0,47.0,47.0,47.0,47.0,71.0,71.0,71.0,71.0,71.0,-24.0
Memphis,46.0,46.0,46.0,46.0,46.0,18.0,18.0,18.0,18.0,18.0,28.0
Hawks,45.0,45.0,45.0,45.0,45.0,37.0,37.0,37.0,37.0,37.0,8.0
Milwaukee,45.0,45.0,45.0,45.0,45.0,43.0,43.0,43.0,43.0,43.0,2.0
Minnesota,43.0,43.0,43.0,43.0,43.0,37.0,37.0,37.0,37.0,37.0,6.0
Milwaukee Bucks,43.0,43.0,43.0,43.0,43.0,41.0,41.0,41.0,41.0,41.0,2.0
Phoenix Suns,43.0,43.0,43.0,43.0,43.0,29.0,29.0,29.0,29.0,29.0,14.0
Utah Jazz,43.0,43.0,43.0,43.0,43.0,27.0,27.0,27.0,27.0,27.0,16.0
Pistons,42.0,42.0,42.0,42.0,42.0,28.0,28.0,28.0,28.0,28.0,14.0
Miami,42.0,42.0,42.0,42.0,42.0,64.0,64.0,64.0,64.0,64.0,-22.0
Philadelphia,42.0,42.0,42.0,42.0,42.0,25.0,25.0,25.0,25.0,25.0,17.0
Boston Celtics,41.0,41.0,41.0,41.0,41.0,44.0,44.0,44.0,44.0,44.0,-3.0
Chicago Bulls,41.0,41.0,41.0,41.0,41.0,30.0,30.0,30.0,30.0,30.0,11.0
76ers,41.0,41.0,41.0,41.0,41.0,123.0,123.0,123.0,123.0,123.0,-82.0
Atlanta,40.0,40.0,40.0,40.0,40.0,38.0,38.0,38.0,38.0,38.0,2.0
Chicago,39.0,39.0,39.0,39.0,39.0,24.0,24.0,24.0,24.0,24.0,15.0
Atlanta Hawks,39.0,39.0,39.0,39.0,39.0,18.0,18.0,18.0,18.0,18.0,21.0
Washington,39.0,39.0,39.0,39.0,39.0,19.0,19.0,19.0,19.0,19.0,20.0
Woj Pod,39.0,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0
Toronto,39.0,39.0,39.0,39.0,39.0,33.0,33.0,33.0,33.0,33.0,6.0
James Harden,38.0,38.0,38.0,38.0,38.0,61.0,61.0,61.0,61.0,61.0,-23.0
Charlotte,38.0,38.0,38.0,38.0,38.0,30.0,30.0,30.0,30.0,30.0,8.0
Utah,37.0,37.0,37.0,37.0,37.0,24.0,24.0,24.0,24.0,24.0,13.0
Kyrie Irving,37.0,37.0,37.0,37.0,37.0,77.0,77.0,77.0,77.0,77.0,-40.0
Houston,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0,39.0,39.0,-2.0
Orlando,36.0,36.0,36.0,36.0,36.0,91.0,91.0,91.0,91.0,91.0,-55.0
Denver Nuggets,35.0,35.0,35.0,35.0,35.0,44.0,44.0,44.0,44.0,44.0,-9.0
New Orleans,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0
Portland Trail Blazers,34.0,34.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0,33.0,1.0
Wizards,34.0,34.0,34.0,34.0,34.0,70.0,70.0,70.0,70.0,70.0,-36.0
Luka Doncic,34.0,34.0,34.0,34.0,34.0,23.0,23.0,23.0,23.0,23.0,11.0
LeBron James,33.0,33.0,33.0,33.0,33.0,75.0,75.0,75.0,75.0,75.0,-42.0
Kings,32.0,32.0,32.0,32.0,32.0,27.0,27.0,27.0,27.0,27.0,5.0
Apple,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0
Spotify,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0
Pelicans,32.0,32.0,32.0,32.0,32.0,71.0,71.0,71.0,71.0,71.0,-39.0
Miami Heat,31.0,31.0,31.0,31.0,31.0,37.0,37.0,37.0,37.0,37.0,-6.0
Grizzlies,31.0,31.0,31.0,31.0,31.0,27.0,27.0,27.0,27.0,27.0,4.0
Cleveland Cavaliers,31.0,31.0,31.0,31.0,31.0,24.0,24.0,24.0,24.0,24.0,7.0
Raptors,30.0,30.0,30.0,30.0,30.0,46.0,46.0,46.0,46.0,46.0,-16.0
Sacramento Kings,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,-1.0
Golden State,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
Joel Embiid,30.0,30.0,30.0,30.0,30.0,48.0,48.0,48.0,48.0,48.0,-18.0
Warriors,29.0,29.0,29.0,29.0,29.0,105.0,105.0,105.0,105.0,105.0,-76.0
Timberwolves,28.0,28.0,28.0,28.0,28.0,47.0,47.0,47.0,47.0,47.0,-19.0
Chauncey Billups,28.0,28.0,28.0,28.0,28.0,9.0,9.0,9.0,9.0,9.0,19.0
Dallas,28.0,28.0,28.0,28.0,28.0,25.0,25.0,25.0,25.0,25.0,3.0
Sacramento,28.0,28.0,28.0,28.0,28.0,32.0,32.0,32.0,32.0,32.0,-4.0
Mark Bartelstein,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0
Kevin Durant,28.0,28.0,28.0,28.0,28.0,68.0,68.0,68.0,68.0,68.0,-40.0
Indiana,27.0,27.0,27.0,27.0,27.0,29.0,29.0,29.0,29.0,29.0,-2.0
Philadelphia 76ers,26.0,26.0,26.0,26.0,26.0,35.0,35.0,35.0,35.0,35.0,-9.0
Minnesota Timberwolves,26.0,26.0,26.0,26.0,26.0,31.0,31.0,31.0,31.0,31.0,-5.0
Detroit Pistons,26.0,26.0,26.0,26.0,26.0,23.0,23.0,23.0,23.0,23.0,3.0
OKC,26.0,26.0,26.0,26.0,26.0,19.0,19.0,19.0,19.0,19.0,7.0
Memphis Grizzlies,25.0,25.0,25.0,25.0,25.0,18.0,18.0,18.0,18.0,18.0,7.0
Cavaliers,25.0,25.0,25.0,25.0,25.0,33.0,33.0,33.0,33.0,33.0,-8.0
Jazz,25.0,25.0,25.0,25.0,25.0,8.0,8.0,8.0,8.0,8.0,17.0
Oklahoma City,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0,4.0
Phoenix,24.0,24.0,24.0,24.0,24.0,16.0,16.0,16.0,16.0,16.0,8.0
Washington Wizards,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0
